Jour;Mois;Puissance moyenne journalière de l'injection RTE (W);Puissance moyenne journalière du refoulement RTE (W);Puissance moyenne journalière des pertes modélisées (W);Energie moyenne journalière des consommations totales (Wh/jour);Energie moyenne journalière des consommations HTA télérelevées à courbe de charge (Wh/jour);Energie moyenne journalière des consommations totales profilées (Wh/jour);Energie moyenne journalière des consommations HTA profilées (Wh/jour);Energie moyenne journalière des consommations PME-PMI profilées (Wh/jour);Energie moyenne journalière des consommations professionnelles profilées (Wh/jour);Energie moyenne journalière des consommations résidentielles profilées (Wh/jour);Puissance moyenne journalière de la production décentralisée totale (W);Puissance moyenne journalière de la production décentralisée télérelevée à courbe de charge (W);Puissance moyenne journalière de la production décentralisée profilée (W);Puissance moyenne journalière de la production photovoltaïque profilée (W);Puissance moyenne journalière de la production autre profilée (W);Température moyenne journalière réalisée lissée (°Celcius);Température moyenne journalière normale lissée (°Celcius);Puissance moyenne journalière de la production éolienne totale (W);Puissance moyenne journalière de la production photovoltaïque totale (W);Puissance moyenne journalière du soutirage net vers autres GRD (W);Energie moyenne journalière des consommations HTA totales (Wh/jour);Pseudo rayonnement;Puissance moyenne journalière de la production autre  (W)
2014-03-07;3;46315708208.0;273439479.0;3041032104.0;46357622224.0;12648329102.0;33709293123.0;1870603874.0;5298974739.0;5875589801.0;20664124710.0;3852524412.0;3536447951.0;316076461.0;287633026.0;2133218.0;8.4;7.9;791240286.0;626144784.0;496138812.0;14518932976.0;;2435144936.0
2014-03-23;3;37939278875.0;977110771.0;2686171703.0;39190199613.0;8257113574.0;30933086040.0;1179543281.0;3845581560.0;4544343260.0;21363617939.0;5322809546.0;4958183493.0;364626052.0;336009282.0;2130160.0;8.9;9.3;2230857844.0;621835365.0;408606333.0;9436656855.0;;2470116016.0
2014-03-08;3;38620053313.0;1095150854.0;2747188075.0;39788753425.0;9372043963.0;30416709462.0;1211055456.0;4330846231.0;4964637462.0;19910170314.0;5439962131.0;5123885463.0;316076669.0;287632967.0;2133218.0;9.5;8.0;2354385913.0;643983239.0;428923090.0;10583099419.0;;2441586890.0
2014-10-07;10;35609239021.0;1573725333.0;2245284976.0;35887126640.0;12893521188.0;22993605452.0;1661593859.0;4612752733.0;4462226595.0;12257032264.0;4405409804.0;4100813174.0;304596631.0;292727981.0;2001801.0;15.2;14.7;3213866119.0;484812789.0;308511875.0;14555115047.0;;706740711.0
2014-11-04;11;40811938417.0;452122063.0;2687528774.0;40589950266.0;12935494045.0;27654456221.0;1968463782.0;5338084094.0;5049354854.0;15298553491.0;3310235561.0;3122416049.0;187819512.0;170207544.0;2649379.0;12.5;10.7;1148018735.0;247554976.0;392572875.0;14903957827.0;;1914651620.0
2014-10-09;10;35291041833.0;1145922667.0;2219393963.0;35646280619.0;13002447193.0;22643833425.0;1696302704.0;4720662801.0;4424801360.0;11802066561.0;4039616964.0;3734715507.0;304901458.0;293017023.0;2001942.0;16.7;14.5;2747349360.0;508388013.0;319061549.0;14698749897.0;;783883036.0
2014-10-24;10;38354949167.0;460393792.0;2466325937.0;37714928458.0;12362750716.0;25352177742.0;1626055027.0;4622226660.0;4772106843.0;14331789212.0;2669614618.0;2419911563.0;249703055.0;235183031.0;2002727.0;13.1;12.4;1250923141.0;557619232.0;382915598.0;13988805743.0;;861072148.0
2014-11-15;11;38532033604.0;391348250.0;2862156395.0;38340289351.0;9361171773.0;28979117578.0;1196508452.0;4254143981.0;4764315657.0;18764149488.0;3452988504.0;3287207722.0;165780782.0;147182551.0;2765515.0;10.7;9.1;993802507.0;283941130.0;391228111.0;10557680225.0;;2175232458.0
2014-10-01;10;35158009583.0;201515708.0;2207915814.0;34228037437.0;13005802667.0;21222234770.0;1571115194.0;4339709690.0;4061776177.0;11249633709.0;1803852112.0;1470855965.0;332996147.0;321044217.0;2002112.0;17.8;15.5;387986509.0;679181290.0;324392736.0;14576917861.0;;736679371.0
2014-10-29;10;39765532583.0;143661479.0;2586454112.0;38386885167.0;12769714695.0;25617170472.0;1631225763.0;4638849198.0;4764354240.0;14582741272.0;1744565369.0;1519434062.0;225131307.0;209204503.0;2002889.0;13.0;11.6;413156775.0;510985037.0;393097195.0;14400940458.0;;820420499.0
