NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
61980;2016-01-01 00:00:00;1009.2;1010.7;27.2;0.6;30.6;23.9;25.9;65;10;213;31;31;31;31;31;31;31;27;;;;;4;2;0;;;;;;21;0;0;;;;28.4;2016-01-02 00:00:00;25.8;2016-01-10 00:00:00;32.2;2016-01-02 00:00:00;22.3;2016-01-06 00:00:00;15.7;2016-01-01 00:00:00;19.7;2016-01-02 00:00:00;1;0;3;15
61996;2016-01-01 00:00:00;1016.2;1019.7;17.7;1.6;21;14.9;15.9;78;9;150;31;31;31;31;31;31;;;;;;;4;2;0;;;;;;19;3;0;;;;20.5;2016-01-27 00:00:00;14.1;2016-01-13 00:00:00;23.5;2016-01-27 00:00:00;10.5;2016-01-13 00:00:00;29.5;2016-01-27 00:00:00;27;2016-01-28 00:00:00;;;3;15
61997;2016-01-01 00:00:00;990.5;1008.3;6.5;1.9;10.1;4.2;7.8;166;14;;31;31;31;31;31;0;;;;;;;10;6;0;;;;;;31;21;6;;;;12.2;2016-01-25 00:00:00;3.6;2016-01-06 00:00:00;17.4;2016-01-25 00:00:00;0.4;2016-01-07 00:00:00;34.4;2016-01-25 00:00:00;36.6;2016-01-25 00:00:00;;;3;15
61998;2016-01-01 00:00:00;1001.4;1005.1;8;2.3;12.1;4.6;7.7;44;8;190;31;31;31;31;31;31;;;;;;;5;;;;;;;;31;24;3;;;;12;2016-01-17 00:00:00;3.7;2016-01-07 00:00:00;16.3;2016-01-20 00:00:00;0.6;2016-01-29 00:00:00;7.1;2016-01-03 00:00:00;36.8;2016-01-26 00:00:00;0;0;3;15
67005;2016-01-01 00:00:00;1010;1010.8;28.5;1.1;31.9;25.9;29.5;404;14;169;31;31;31;31;31;31;31;27;;;;;10;9;4;;;;;;17;0;0;0;0;4;30.3;2016-01-16 00:00:00;26.5;2016-01-20 00:00:00;33.6;2016-01-16 00:00:00;24.5;2016-01-19 00:00:00;71.6;2016-01-26 00:00:00;17.8;2016-01-31 00:00:00;5;0;3;15
78897;2016-01-01 00:00:00;1015.5;1016.4;24.7;0.6;28.8;21.1;23.9;77;14;176;31;31;31;31;31;31;31;0;;;;;4;1;0;;;;;;22;0;0;0;0;2;25.8;2016-01-27 00:00:00;23.1;2016-01-19 00:00:00;29.5;2016-01-01 00:00:00;18.7;2016-01-11 00:00:00;32.8;2016-01-05 00:00:00;16.4;2016-01-26 00:00:00;0;0;12;0
78925;2016-01-01 00:00:00;1014.9;1015.8;25.4;0.7;29.5;22.5;24.2;107;17;185;31;31;31;31;31;31;31;5;;;;;5;4;0;;;;;;26;0;0;;;;26.5;2016-01-26 00:00:00;23.6;2016-01-11 00:00:00;30.5;2016-01-12 00:00:00;18.9;2016-01-12 00:00:00;22.2;2016-01-08 00:00:00;17;2016-01-25 00:00:00;0;0;12;0
81401;2016-01-01 00:00:00;1012.4;1013;25.6;0.5;31.5;21.6;26.5;29;8;;31;31;31;31;31;0;31;29;;;;;2;;;;;;;;14;0;0;;;;26.5;2016-01-18 00:00:00;24;2016-01-22 00:00:00;33.3;2016-01-15 00:00:00;18.7;2016-01-22 00:00:00;9.3;2016-01-31 00:00:00;13.7;2016-01-07 00:00:00;;;9;21
81405;2016-01-01 00:00:00;1012.1;1013.1;26.2;0.7;30;23.3;27.5;78;13;120;31;31;31;31;31;31;31;16;;;;;6;1;0;;;;;;20;0;0;;;;27.2;2016-01-05 00:00:00;24.9;2016-01-20 00:00:00;31.2;2016-01-10 00:00:00;20;2016-01-22 00:00:00;24.8;2016-01-29 00:00:00;15.1;2016-01-01 00:00:00;0;;9;21
81408;2016-01-01 00:00:00;1011.8;1012.7;25.7;0.8;30.8;22.4;28.1;129;14;123;31;31;31;31;31;31;31;23;;;;;10;5;0;;;;;;11;0;0;;;;27.3;2016-01-14 00:00:00;23.8;2016-01-29 00:00:00;32.9;2016-01-09 00:00:00;19.6;2016-01-22 00:00:00;22.4;2016-01-29 00:00:00;12.4;2016-01-02 00:00:00;;;9;21
81415;2016-01-01 00:00:00;1000.8;1013;26.2;0.7;32.3;22.7;26.8;55;12;;31;31;31;31;31;0;31;31;;;;;2;1;0;;;;;;12;0;0;;;;27.4;2016-01-15 00:00:00;24.6;2016-01-30 00:00:00;34.3;2016-01-22 00:00:00;20.4;2016-01-23 00:00:00;16.9;2016-01-03 00:00:00;14;2016-01-04 00:00:00;;;9;21
89642;2016-01-01 00:00:00;977.1;982.4;-1.5;1.6;1.4;-4.3;3.2;;;410;31;31;31;31;0;31;;;;;5;31;;;;;;;;;27;14;2;0;0;2;2;2016-01-01 00:00:00;-3.9;2016-01-11 00:00:00;5.7;2016-01-21 00:00:00;-7.9;2016-01-12 00:00:00;;;31.9;2016-01-05 00:00:00;0;0;21;9
