Maille géographique,Année,Nom IRIS,Code IRIS,Type IRIS,Nom commune,Code commune,Nom EPCI,Code EPCI,Type EPCI,Nom département,Code département,Nom région,Code région,Nb sites secteur résidentiel,Conso totale secteur résidentiel (MWh),Conso moyenne secteur résidentiel (MWh),Nb sites Agriculture,Conso totale Agriculture (MWh),Nb sites Industrie,Conso totale Industrie (MWh),Nb sites Tertiaire,Conso totale Tertiaire (MWh),Nb sites Secteur non affecté,Conso totale Secteur non affecté (MWh)
EPCI,2016,,,,,,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,200000438,CC,Loire-Atlantique,,Pays de la Loire,,17150,115809.701138143,6.75275225295297,9,1348.65674200462,43,25254.766834658,100.0,23235.3165468127,,
EPCI,2016,,,,,,CC de la Région de Machecoul,244400420,CC,Loire-Atlantique,,Pays de la Loire,,10151,75851.2305302296,7.47229145209631,31,4351.45243917542,39,10070.6277567112,82.0,16204.3760710381,,
EPCI,2016,,,,,,CC d'Erdre et Gesvres,244400503,CC,Loire-Atlantique,,Pays de la Loire,,26965,206617.358930576,7.66242755166237,17,2135.52468913684,76,16680.9941580208,209.0,35723.9598178969,,
EPCI,2016,,,,,,CA de la Région Nazairienne et de l'Estuaire (Carene),244400644,CA,Loire-Atlantique,,Pays de la Loire,,80233,368025.007392314,4.58695309152485,3,93.6625337900032,184,235674.897846794,764.0,179390.39890581,7,461.582210589674
EPCI,2012,,,,,,CC du Pays de Pontchâteau Saint-Gildas-des-bois,200000438,CC,Loire-Atlantique,,Pays de la Loire,,16348,110833.751302521,6.77965202486674,8,1148.61590816521,39,22826.2846247587,88.0,22417.4039538945,,
EPCI,2015,,,,,,CC de la Région de Machecoul,244400420,CC,Loire-Atlantique,,Pays de la Loire,,9969,72719.0284018862,7.29451583929042,31,4474.98728992101,34,9357.90974874763,82.0,16165.3415323201,,
EPCI,2013,,,,,,CC de Grand Lieu,244400438,CC,Loire-Atlantique,,Pays de la Loire,,16589,129254.079433595,7.79155340488245,43,9913.42725002855,68,50461.5888257711,123.0,22848.8919903577,,
EPCI,2013,,,,,,CC de la Vallée de Clisson,244400446,CC,Loire-Atlantique,,Pays de la Loire,,17998,128775.909463727,7.15501219378415,36,7503.13060390885,53,46507.4841668736,128.0,22201.7646835,,
EPCI,2014,,,,,,CC de la Vallée de Clisson,244400446,CC,Loire-Atlantique,,Pays de la Loire,,18250,116966.527160262,6.40912477590475,37,7571.53095046293,55,44761.5293602307,130.0,22230.1121653215,0,0.0
EPCI,2015,,,,,,CC du Castelbriantais,244400487,CC,Loire-Atlantique,,Pays de la Loire,,17979,117682.517177506,6.54555410075675,25,3434.92649279589,75,108143.488806717,176.0,29615.5991607767,5,3.559
EPCI,2011,,,,,,CC du Secteur de Derval,244400495,CC,Loire-Atlantique,,Pays de la Loire,,5332,37619.2431645985,7.05537193634631,16,2226.88610455304,13,1633.44771887179,27.0,4159.7133623671,0,0.0
EPCI,2011,,,,,,CC d'Erdre et Gesvres,244400503,CC,Loire-Atlantique,,Pays de la Loire,,23900,181390.112039318,7.58954443679155,15,1919.7124602808,62,16763.0958836819,171.0,28449.1089427362,,
EPCI,2012,,,,,,CC d'Erdre et Gesvres,244400503,CC,Loire-Atlantique,,Pays de la Loire,,24572,197252.394389802,8.02752703849103,16,1827.18231111818,64,17380.520970962,176.0,30569.723019663,,
EPCI,2014,,,,,,CC Coeur Pays de Retz,244400545,CC,Loire-Atlantique,,Pays de la Loire,,8807,62598.8952946579,7.10785685189712,4,397.881260294319,20,10562.5859111438,57.0,10149.6626224742,,
EPCI,2013,,,,,,CC du Pays d'Ancenis,244400552,CC,Loire-Atlantique,,Pays de la Loire,,29957,227301.530234263,7.58759322476426,44,8353.73969944716,108,159389.783333574,270.0,56330.0518562194,3,59.4528581919983
EPCI,2014,,,,,,CC de Vallet,244400578,CC,Loire-Atlantique,,Pays de la Loire,,9450,62138.936997432,6.57554888861714,7,260.790513549271,31,8943.39657853265,64.0,24533.4918400607,,
